ano_mes;quant
2017-12;1
2019-03;35
2019-04;261
2019-05;300
2019-06;101
2019-07;71
2019-08;47
2019-09;42
2019-10;31
2019-11;21
2019-12;23
2020-01;33
2020-02;31
2020-03;30
2020-04;30
2020-05;51
2020-06;55
2020-07;67
2020-08;83
2020-09;72
2020-10;47
2020-11;60
2020-12;110
2021-01;131
2021-02;178
2021-03;241
2021-04;214
2021-05;232
2021-06;215
2021-07;183
2021-08;179
2021-09;143
2021-10;694
2021-11;247
2021-12;250
2022-01;239
2022-02;437
2022-03;446
2022-04;256
2022-05;300
2022-06;276
2022-07;279
2022-08;300
2022-09;252
2022-10;232
2022-11;265
2022-12;532
2023-01;587
2023-02;392
2023-03;570
2023-04;317
2023-05;343
2023-06;277
2023-07;310
2023-08;322
2023-09;367
2023-10;499
2023-11;530
2023-12;540
2024-01;446
2024-02;354
2024-03;292
2024-04;394
2024-05;393
2024-06;364
2024-07;326
2024-08;309
2024-09;129